reaction,origin,rule
R00069,map_rn2ko_viaEC_1minus,frozenset({'K00106'})
R00075,map_rn2ko_viaEC_1minus,frozenset({'K05953'})
R00076,map_rn2ko_viaEC_1minus,frozenset({'K00871'})
R00080,map_rn2ko_viaEC_1minus,frozenset({'K00422'})
R00090,map_rn2ko_viaEC_1minus,frozenset({'K05910'})
R00092,map_rn2ko_viaEC_1minus,frozenset({'K00521'})
R00105,map_rn2ko_viaEC_1minus,frozenset({'K19386'})
R00118,map_rn2ko_viaEC_1minus,frozenset({'K18764'})
R00129,map_rn2ko_viaEC_1minus,frozenset({'K17757'})
R00138,map_rn2ko_viaEC_1minus,frozenset({'K18446'})
R00175,map_rn2ko_viaEC_1minus,frozenset({'K21534'})
R00193,map_rn2ko_viaEC_1minus,frozenset({'K12960'})
R00195,map_rn2ko_viaEC_1minus,frozenset({'K01751'})
R00208,map_rn2ko_viaEC_1minus,frozenset({'K24670'})
R00210,map_rn2ko_viaEC_1minus,frozenset({'K21682'})
R00223,map_rn2ko_viaEC_1minus,frozenset({'K01751'})
R00224,map_rn2ko_viaEC_1minus,frozenset({'K01568'})
R00254,map_rn2ko_viaEC_1minus,frozenset({'K06016'})
R00272,map_rn2ko_viaEC_1minus,frozenset({'K01616'})
R00298,map_rn2ko_viaEC_1minus,frozenset({'K00109'})
R00302,map_rn2ko_viaEC_1minus,frozenset({'K23272'})
R00307,map_rn2ko_viaEC_1minus,frozenset({'K01805'})
R00321,map_rn2ko_viaEC_1minus,frozenset({'K01426'})
R00340,map_rn2ko_viaEC_1minus,frozenset({'K22209'})
R00383,map_rn2ko_viaEC_1minus,frozenset({'K01073'})
R00384,map_rn2ko_viaEC_1minus,frozenset({'K00209'})
R00388,map_rn2ko_viaEC_1minus,frozenset({'K00232'})
R00437,map_rn2ko_viaEC_1minus,frozenset({'K00962'})
R00438,map_rn2ko_viaEC_1minus,frozenset({'K00962'})
R00439,map_rn2ko_viaEC_1minus,frozenset({'K00962'})
R00440,map_rn2ko_viaEC_1minus,frozenset({'K00962'})
R00460,map_rn2ko_viaEC_1minus,frozenset({'K20707'})
R00539,map_rn2ko_viaEC_1minus,frozenset({'K01512'})
R00544,map_rn2ko_viaEC_1minus,frozenset({'K07469'})
R00546,map_rn2ko_viaEC_1minus,frozenset({'K01437'})
R00577,map_rn2ko_viaEC_1minus,frozenset({'K22442'})
R00600,map_rn2ko_viaEC_1minus,frozenset({'K03439'})
R00635,map_rn2ko_viaEC_1minus,frozenset({'K00157'})
R00636,map_rn2ko_viaEC_1minus,frozenset({'K01568'})
R00637,map_rn2ko_viaEC_1minus,frozenset({'K17066'})
R00638,map_rn2ko_viaEC_1minus,frozenset({'K07469'})
R00649,map_rn2ko_viaEC_1minus,frozenset({'K08247'})
R00666,map_rn2ko_viaEC_1minus,frozenset({'K00298'})
R00668,map_rn2ko_viaEC_1minus,frozenset({'K00819'})
R00725,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R00739,map_rn2ko_viaEC_1minus,frozenset({'K21181'})
R00758,map_rn2ko_viaEC_1minus,frozenset({'K00009'})
R00792,map_rn2ko_viaEC_1minus,frozenset({'K02567'})
R00799,map_rn2ko_viaEC_1minus,frozenset({'K19823'})
R00827,map_rn2ko_viaEC_1minus,frozenset({'K00545'})
R00834,map_rn2ko_viaEC_1minus,frozenset({'K00085'})
R00874,map_rn2ko_viaEC_1minus,frozenset({'K00118'})
R00876,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R00881,map_rn2ko_viaEC_1minus,frozenset({'K18447'})
R00913,map_rn2ko_viaEC_1minus,frozenset({'K18459'})
R00995,map_rn2ko_viaEC_1minus,frozenset({'K01003'})
R01007,map_rn2ko_viaEC_1minus,frozenset({'K01001'})
R01008,map_rn2ko_viaEC_1minus,frozenset({'K21304'})
R01028,map_rn2ko_viaEC_1minus,frozenset({'K01133'})
R01029,map_rn2ko_viaEC_1minus,frozenset({'K01050'})
R01076,map_rn2ko_viaEC_1minus,frozenset({'K01435'})
R01099,map_rn2ko_viaEC_1minus,frozenset({'K04618'})
R01139,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R01140,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R01160,map_rn2ko_viaEC_1minus,frozenset({'K22888'})
R01181,map_rn2ko_viaEC_1minus,frozenset({'K11942'})
R01190,map_rn2ko_viaEC_1minus,frozenset({'K21549'})
R01193,map_rn2ko_viaEC_1minus,frozenset({'K19179'})
R01216,map_rn2ko_viaEC_1minus,frozenset({'K00606'})
R01237,map_rn2ko_viaEC_1minus,frozenset({'K01237'})
R01243,map_rn2ko_viaEC_1minus,frozenset({'K01130'})
R01259,map_rn2ko_viaEC_1minus,frozenset({'K03334'})
R01263,map_rn2ko_viaEC_1minus,frozenset({'K14677'})
R01323,map_rn2ko_viaEC_1minus,frozenset({'K01643'})
R01327,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R01330,map_rn2ko_viaEC_1minus,frozenset({'K00844'})
R01340,map_rn2ko_viaEC_1minus,frozenset({'K00273'})
R01342,map_rn2ko_viaEC_1minus,frozenset({'K19746'})
R01343,map_rn2ko_viaEC_1minus,frozenset({'K00819'})
R01344,map_rn2ko_viaEC_1minus,frozenset({'K00824'})
R01349,map_rn2ko_viaEC_1minus,frozenset({'K22545'})
R01375,map_rn2ko_viaEC_1minus,frozenset({'K00816'})
R01376,map_rn2ko_viaEC_1minus,frozenset({'K05821'})
R01399,map_rn2ko_viaEC_1minus,frozenset({'K13252'})
R01407,map_rn2ko_viaEC_1minus,frozenset({'K06046'})
R01441,map_rn2ko_viaEC_1minus,frozenset({'K18673'})
R01442,map_rn2ko_viaEC_1minus,frozenset({'K19069'})
R01443,map_rn2ko_viaEC_1minus,frozenset({'K19069'})
R01471,map_rn2ko_viaEC_1minus,frozenset({'K12447'})
R01480,map_rn2ko_viaEC_1minus,frozenset({'K01235'})
