rn,url,ec,ko_list,num_ecs,num_kos,rule,notes
R01144,https://www.genome.jp/entry/R01144,3.1.1.44,,1,0,,
R01145,https://www.genome.jp/entry/R01145,3.1.6.16,,1,0,,
R01149,https://www.genome.jp/entry/R01149,2.3.2.14,,1,0,,
R01156,https://www.genome.jp/entry/R01156,3.5.1.62,,1,0,,
R01160,https://www.genome.jp/entry/R01160,2.3.1.33,K22888,1,1,,
R01161,https://www.genome.jp/entry/R01161,2.6.1.38,,1,0,,
R01173,https://www.genome.jp/entry/R01173,1.2.1.57,,1,0,,
R01180,https://www.genome.jp/entry/R01180,2.3.3.7,,1,0,,
R01181,https://www.genome.jp/entry/R01181,5.4.99.13,K11942,1,1,,
R01188,https://www.genome.jp/entry/R01188,2.1.1.40,,1,0,,
R01189,https://www.genome.jp/entry/R01189,2.1.1.39,,1,0,,
R01190,https://www.genome.jp/entry/R01190,2.1.1.129,K21549,1,1,,
R01193,https://www.genome.jp/entry/R01193,3.1.4.44,K19179,1,1,,
R01200,https://www.genome.jp/entry/R01200,3.5.1.33,,1,0,,
R01202,https://www.genome.jp/entry/R01202,1.1.1.240,,1,0,,
R01203,https://www.genome.jp/entry/R01203,1.1.3.29,,1,0,,
R01204,https://www.genome.jp/entry/R01204,2.3.1.3,,1,0,,
R01210,https://www.genome.jp/entry/R01210,1.2.1.25,,1,0,,
R01211,https://www.genome.jp/entry/R01211,1.1.1.84,,1,0,,
R01216,https://www.genome.jp/entry/R01216,2.1.2.11;4.1.2.12,K00606,2,1,,
R01217,https://www.genome.jp/entry/R01217,1.5.7.1,,1,0,,
R01225,https://www.genome.jp/entry/R01225,2.1.2.7,,1,0,,
R01235,https://www.genome.jp/entry/R01235,2.1.1.9,,1,0,,
R01236,https://www.genome.jp/entry/R01236,2.8.2.16,,1,0,,
R01237,https://www.genome.jp/entry/R01237,3.2.1.147,K01237,1,1,,
R01239,https://www.genome.jp/entry/R01239,2.1.1.25,,1,0,,
R01240,https://www.genome.jp/entry/R01240,2.4.1.35,,1,0,,
R01243,https://www.genome.jp/entry/R01243,3.1.6.1,K01130,1,1,,
R01258,https://www.genome.jp/entry/R01258,1.4.1.5,,1,0,,
R01259,https://www.genome.jp/entry/R01259,1.4.3.2,K03334,1,1,,
R01261,https://www.genome.jp/entry/R01261,2.6.1.12,,1,0,,
R01263,https://www.genome.jp/entry/R01263,3.5.1.14,K14677,1,1,,
R01264,https://www.genome.jp/entry/R01264,1.5.3.2,,1,0,,
R01265,https://www.genome.jp/entry/R01265,5.1.1.10,,1,0,,
